"emp_id";"emp_nm";"emp_grd";"emp_role";"dept_cd";"dept_nm";"cell_phone";"off_tel";"email"
"11001345";"유재석";"임원";"그룹장";"30000";"마케팅본부";"010-1111-2222";"02-2222-3434";"youjs@ezen.co.kr"
"13005050";"김숙";"선임";"팀장";"30600";"고객관리팀";"010-1313-5622";"02-2222-3438";"kimsuk@ezen.co.kr"
"21005432";"하하";"선임";"팀장";"34000";"상품관리팀1";"010-2121-2223";"02-2222-3435";"haha@ezen.co.kr"
"23006742";"전현무";"선임";"팀장";"39800";"상품관리팀2";"010-2323-7723";"02-2222-3440";"jeunhm@ezen.co.kr"
"26007895";"이미주";"주임";"팀원";"34000";"상품관리팀1";"010-2626-2256";"02-2222-3437";"mjlee@ezen.co.kr"
"32569009";"코쿤";"주임";"팀원";"39800";"상품관리팀2";"010-3232-2293";"02-2222-3443";"cocun@ezen.co.kr"
"34006425";"조세호";"주임";"팀원";"34000";"상품관리팀1";"010-3434-2253";"02-2222-3436";"chosh@ezen.co.kr"
"34789800";"양세찬";"주임";"팀원";"30600";"고객관리팀";"010-3434-3222";"02-2222-3439";"yang@ezen.co.kr"
"78540092";"박나래";"주임";"팀원";"39800";"상품관리팀2";"010-7878-8923";"02-2222-3442";"parknr@ezen.co.kr"
"93970021";"기안84";"주임";"팀원";"39800";"상품관리팀2";"010-9393-2213";"02-2222-3441";"gian84@ezen.co.kr"
